lu_value,lu_name,cn_a,cn_b,cn_c,cn_d,c_factor,tss,lead,zinc,nitrogen,phosphorus
11,Water,0,0,0,0,0,0,0,0,0,0
12,Perennial Ice / Snow,0,0,0,0,0,100,0,0,0,0
21,Developed Open Space,0.49,0.69,0.79,0.84,0.005,0,0.03,0.03,1.25,0
22,Low Intensity Developed,0.61,0.75,0.83,0.87,0.03,19.1,0.06,0.06,1.77,0.18
23,Medium Intensity Developed,0.77,0.85,0.9,0.92,0.01,55.3,0,0.08,1.25,0.48
24,High Intensity Developed,0.89,0.92,0.94,0.95,0,71,0.09,0.09,2.22,0.47
31,Bare Land,0.77,0.86,0.91,0.94,0.7,70,0.03,0.03,0.97,0.12
41,Deciduous Forest,0.3,0.55,0.7,0.77,0.009,11.1,0.03,0.03,1.25,0.05
42,Evergreen Forest,0.3,0.55,0.7,0.77,0.004,11.1,0.03,0.03,1.25,0.05
43,Mixed Forest,0.3,0.55,0.7,0.77,0.007,11.1,0.03,0.03,1.25,0.05
51,Dwarf Shrub,0.3,0.48,0.65,0.73,0.014,0,0,0,0,0
52,Scrub/Shrub,0.3,0.48,0.65,0.73,0.014,11.1,0.03,0,1.25,0.05
71,Grassland,0.3,0.58,0.71,0.78,0.12,55.3,0.03,0.03,1.25,0.48
72,Sedge Herbaceous,0.3,0.58,0.71,0.78,0.12,0,0,0,0,0
74,Moss,0.3,0.58,0.71,0.78,0.12,0,0,0,0,0
81,Pasture/Hay,0.39,0.61,0.74,0.8,0.05,55.3,0.03,0.03,2.48,0.42
82,Cultivated Land,0.67,0.78,0.85,0.89,0.24,55.3,0.05,0.03,2.68,0.42
90,Woody Wetland,0,0,0,0,0,19,0,0,1.1,0.2
95,Emergent Wetland,0,0,0,0,0,19,0,0,1.1,0.2
